              Y               X               Z             Vxx             Vxy             Vxz             Vyy             Vyz             Vzz
          8.738           4.779          -0.150        -0.14121        17.49967       -67.93518       -32.56085       -37.39865        32.70205
          8.738           4.779          -0.150        -0.14121        17.49967       -67.93518       -32.56085       -37.39865        32.70205
          8.738           4.779          -0.150        -0.14121        17.49967       -67.93518       -32.56085       -37.39865        32.70205
          8.738           4.779          -0.150        -0.14121        17.49967       -67.93518       -32.56085       -37.39865        32.70205
          8.738           4.789          -0.150         2.66726        18.28681       -67.55436       -31.50318       -36.17583        28.83592
          8.738           4.789          -0.150         2.66726        18.28681       -67.55436       -31.50318       -36.17583        28.83592
          8.738           4.789          -0.150         2.66726        18.28681       -67.55436       -31.50318       -36.17583        28.83592
          8.738           4.789          -0.150         2.66726        18.28681       -67.55436       -31.50318       -36.17583        28.83592
          8.738           4.789          -0.150         2.66726        18.28681       -67.55436       -31.50318       -36.17583        28.83592
          8.738           4.789          -0.150         2.66726        18.28681       -67.55436       -31.50318       -36.17583        28.83592
          8.738           4.789          -0.150         2.66726        18.28681       -67.55436       -31.50318       -36.17583        28.83592
          8.738           4.789          -0.150         2.66726        18.28681       -67.55436       -31.50318       -36.17583        28.83592
          8.738           4.789          -0.150         2.66726        18.28681       -67.55436       -31.50318       -36.17583        28.83592
          8.738           4.789          -0.150         2.66726        18.28681       -67.55436       -31.50318       -36.17583        28.83592
          8.738           4.789          -0.150         2.66726        18.28681       -67.55436       -31.50318       -36.17583        28.83592
          8.738           4.789          -0.150         2.66726        18.28681       -67.55436       -31.50318       -36.17583        28.83592
          8.728           4.789          -0.150         1.92002        17.22878       -68.77711       -33.07721       -34.93376        31.15719
          8.728           4.789          -0.150         1.92002        17.22878       -68.77711       -33.07721       -34.93376        31.15719
          8.728           4.789          -0.150         1.92002        17.22878       -68.77711       -33.07721       -34.93376        31.15719
          8.728           4.789          -0.150         1.92002        17.22878       -68.77711       -33.07721       -34.93376        31.15719
          8.728           4.789          -0.150         1.92002        17.22878       -68.77711       -33.07721       -34.93376        31.15719
          8.728           4.789          -0.150         1.92002        17.22878       -68.77711       -33.07721       -34.93376        31.15719
          8.728           4.789          -0.150         1.92002        17.22878       -68.77711       -33.07721       -34.93376        31.15719
          8.728           4.789          -0.150         1.92002        17.22878       -68.77711       -33.07721       -34.93376        31.15719
          8.728           4.789          -0.150         1.92002        17.22878       -68.77711       -33.07721       -34.93376        31.15719
          8.728           4.789          -0.150         1.92002        17.22878       -68.77711       -33.07721       -34.93376        31.15719
          8.728           4.789          -0.150         1.92002        17.22878       -68.77711       -33.07721       -34.93376        31.15719
          8.728           4.789          -0.150         1.92002        17.22878       -68.77711       -33.07721       -34.93376        31.15719
          8.728           4.789          -0.150         1.92002        17.22878       -68.77711       -33.07721       -34.93376        31.15719
          8.728           4.789          -0.150         1.92002        17.22878       -68.77711       -33.07721       -34.93376        31.15719
          8.728           4.789          -0.150         1.92002        17.22878       -68.77711       -33.07721       -34.93376        31.15719
          8.728           4.789          -0.150         1.92002        17.22878       -68.77711       -33.07721       -34.93376        31.15719
