              Y               X               Z             Vxx             Vxy             Vxz             Vyy             Vyz             Vzz
          3.355          -5.238          -0.100        -1.17582         0.70777       -52.21388        -9.38281        -7.03267        10.55862
          8.672         -10.714          -0.100         1.63416        -2.62904         0.46513         0.47067        -0.32155        -2.10483
        -10.693         -12.723          -0.100         0.27901         0.35365         0.01948         0.02606         0.01332        -0.30507
         -6.770          -4.268          -0.100        17.07853         1.10038        -6.67242        -4.83132         0.15548       -12.24721
         -5.456         -13.614          -0.100         0.56044         0.23087         0.03318        -0.12795         0.01064        -0.43249
         -8.536          -1.414          -0.100         9.64439        16.52931        10.12947         3.13810         9.47202       -12.78248
         -8.279           4.768          -0.100       -16.14980        -0.26600       -33.50709       -28.15579        38.20510        44.30559
         10.563          14.271          -0.100         0.16172         0.25026        -0.01381         0.02791        -0.00984        -0.18962
         12.127         -12.751          -0.100         0.05744        -0.43831         0.02025         0.25789        -0.02487        -0.31533
          6.548          14.600          -0.100         0.38925         0.21753        -0.02587        -0.11276        -0.00728        -0.27649
         -0.582         -11.557          -0.100         1.32724         0.67509         0.15183        -0.07338         0.06588        -1.25386
         -9.597          -6.758          -0.100        -1.16347         1.56613         0.18353         4.21749         0.76048        -3.05403
         11.339          14.381          -0.100         0.12129         0.22542        -0.01081         0.04442        -0.00867        -0.16572
         12.487          -8.763          -0.100        -0.38261        -0.29763         0.01223         0.90516        -0.06766        -0.52256
         -6.699          -6.147          -0.100        -8.20621         0.51026        -0.29570       -10.07402        -0.40640        18.28023
          6.640           1.582          -0.100         0.44505        -0.65500         0.12744         1.25386        -0.24968        -1.69891
          0.324           0.705          -0.100       -13.86125        11.29646         9.49129       -16.21307       -11.12216        30.07432
          4.612           0.437          -0.100         1.73636        -1.44367         0.45784         1.22746        -0.49492        -2.96382
          7.850          -0.420          -0.100         0.41106        -0.03837         0.00199         0.57721        -0.08516        -0.98827
         10.574           7.721          -0.100        -0.60321         0.35630        -0.01435         1.46535        -0.19743        -0.86214
          9.832          11.152          -0.100         0.30194         0.69798        -0.06477         0.20023        -0.05589        -0.50218
          1.427          10.760          -0.100         1.20363        -0.24026        -0.17075        -0.09717         0.04460        -1.10646
        -10.298         -11.353          -0.100         0.38169         0.53338         0.03395         0.07163         0.02479        -0.45332
         -7.263         -11.741          -0.100         0.86389         0.42643         0.06364        -0.21013         0.02118        -0.65376
         -9.356          10.186          -0.100         1.67063        -1.52864        -0.28149        -0.30158         0.15056        -1.36905
         -9.861         -10.601          -0.100         0.51547         0.73372         0.05436         0.10702         0.04034        -0.62249
         -8.257          -5.772          -0.100       -10.89680        -1.93682       -11.73286        -3.89109        47.09727        14.78789
          7.830          -8.098          -0.100       -28.67124        -1.39909        -1.51963        -9.50089        -8.68846        38.17214
          6.727         -13.202          -0.100         1.26537        -0.63653         0.12171        -0.40456        -0.03199        -0.86081
         14.651           1.429          -0.100        -0.07866         0.03314        -0.00044         0.30090        -0.01479        -0.22224
          4.837          -5.175          -0.100        14.34179         5.53670        -8.84240         0.39954        -3.17936       -14.74133
          0.378         -13.949          -0.100         0.87896         0.22827         0.06177        -0.26301         0.01524        -0.61595
          4.087           3.998          -0.100        -6.73520        17.03417         6.11237       -31.18459        -9.33233        37.91979
        -12.200         -12.320          -0.100         0.17487         0.32344         0.01463         0.08585         0.01231        -0.26072
        -13.644          10.114          -0.100         0.12050        -0.52128        -0.02820         0.27558         0.03296        -0.39608
         10.279           5.063          -0.100        -0.23166        -0.27510         0.04306         1.03860        -0.12461        -0.80694
