              Y               X               Z             Vxx             Vxy             Vxz             Vyy             Vyz             Vzz
         -1.433           1.732           0.000         2.85216       -12.85617       -13.03277        -2.05153        10.78213        -0.80063
         -3.867           2.100           0.000        -0.96671        -2.83641        -1.09177         2.71543         2.01025        -1.74871
          1.797          -2.631           0.000         3.85303        -6.57299         5.48988        -1.27905        -3.75019        -2.57397
          2.923           3.223           0.000         1.23165         3.45969        -1.76266         0.55316        -1.59827        -1.78480
          3.905          -2.387           0.000        -0.58594        -2.72793         1.03776         2.20884        -1.69759        -1.62290
         -3.878          -0.364           0.000        -3.38782         0.84360         0.32544         5.52570         3.46915        -2.13788
          0.050           0.442           0.000       -84.27204         1.48796       -96.24269       -97.62250       -10.85525       181.89455
         -0.790           0.404           0.000       -41.46121       -30.03679       -33.94076         1.85912        66.32235        39.60209
          1.570           1.350           0.000        -2.44756        14.56247       -13.22026         1.96275       -15.37289         0.48481
         -1.117           1.187           0.000        -2.19065       -19.79755       -23.20006        -4.59434        21.83437         6.78498
         -2.437          -2.469           0.000         1.29934         5.89285         3.62845         1.14780         3.58209        -2.44714
         -3.969           3.002           0.000         0.01008        -2.38076        -0.88731         1.35677         1.17307        -1.36686
          1.186          -1.453           0.000         2.04382       -16.45038        19.18535        -4.66055       -15.67012         2.61673
         -0.556           3.677           0.000         5.96046        -1.49164        -4.02317        -3.68622         0.60789        -2.27424
          0.185          -0.124           0.000      -100.68184        -0.59998        22.49424      -100.19439       -33.45469       200.87623
         -1.255          -1.053           0.000        -6.73884        19.43206        20.32161         0.11232        24.21734         6.62652
         -1.528           2.464           0.000         5.04691        -7.61489        -7.45934        -2.50858         4.62624        -2.53833
          2.069          -1.128           0.000        -5.92089       -10.24034         7.25446         7.27603       -13.30455        -1.35514
          0.485           1.028           0.000         6.38964        22.19834       -48.56573       -30.13201       -22.93562        23.74237
          1.213          -2.187           0.000         6.80222        -9.38691        11.43812        -4.91064        -6.34550        -1.89158
         -0.046          -1.320           0.000        16.87762         1.72727        43.93382       -32.53378         1.53394        15.65616
          1.988          -0.423           0.000       -14.22237        -6.16040         4.39570        13.38185       -20.63323         0.84052
          1.922          -1.045           0.000        -7.20289       -11.43671         8.59555         7.62040       -15.81311        -0.41750
         -0.703           0.354           0.000       -49.48657       -33.14505       -40.38606        -0.37717        80.18884        49.86374
          0.299          -3.336           0.000         7.51117        -1.12821         5.67394        -4.99776        -0.50765        -2.51341
          3.555           0.745           0.000        -3.70719         2.13828        -0.90188         6.04505        -4.30234        -2.33786
          3.842          -3.393           0.000         0.35774        -2.27315         0.87389         0.92411        -0.98952        -1.28185
         -1.527           3.390           0.000         4.48289        -3.78319        -3.71129        -2.20826         1.67231        -2.27462
          0.178          -1.332           0.000        16.07981        -6.38849        42.52599       -30.89278        -5.68058        14.81297
         -1.049          -2.552           0.000         7.83859         6.55856         9.33535        -5.42382         3.83674        -2.41477
