# lon lat x-norte(m) y-leste(m) z(m) topo(m) mag(nT)
-51.50254 -15.58983 1129.93220 33050.51695 -448.84334 298.84334 148.34027
-51.49492 -15.58983 1129.93220 33897.96610 -449.76478 299.76478 90.08787
-51.48729 -15.58983 1129.93220 34745.41525 -450.55523 300.55523 47.36146
-51.47966 -15.58983 1129.93220 35592.86441 -451.44116 301.44116 0.96932
-51.47203 -15.58983 1129.93220 36440.31356 -452.31434 302.31434 33.72766
-51.46441 -15.58983 1129.93220 37287.76271 -453.14727 303.14727 102.27657
-51.45678 -15.58983 1129.93220 38135.21186 -453.92580 303.92580 27.21733
-51.44915 -15.58983 1129.93220 38982.66102 -454.63823 304.63823 -14.04457
-51.44153 -15.58983 1129.93220 39830.11017 -455.27426 305.27426 -33.61311
-51.43390 -15.58983 1129.93220 40677.55932 -455.83123 305.83123 -24.27058
-51.42627 -15.58983 1129.93220 41525.00847 -456.36104 306.36104 -106.02305
-51.41864 -15.58983 1129.93220 42372.45763 -456.92057 306.92057 -329.26852
-51.41102 -15.58983 1129.93220 43219.90678 -456.44194 306.44194 -328.38611
-51.40339 -15.58983 1129.93220 44067.35593 -455.46224 305.46224 -257.24913
-51.39576 -15.58983 1129.93220 44914.80508 -454.59786 304.59786 -195.17892
-51.38814 -15.58983 1129.93220 45762.25424 -453.67565 303.67565 -135.18394
-51.38051 -15.58983 1129.93220 46609.70339 -452.67307 302.67307 -83.22005
-51.37288 -15.58983 1129.93220 47457.15254 -451.58832 301.58832 -76.45166
-51.36525 -15.58983 1129.93220 48304.60169 -450.42299 300.42299 -70.60201
-51.35763 -15.58983 1129.93220 49152.05085 -449.18039 299.18039 -76.89423
-51.35000 -15.58983 1129.93220 49999.50000 -447.87241 297.87241 -74.89592
-51.80000 -15.58475 1694.89831 0.00000 -437.39737 287.39737 -116.18967
-51.79237 -15.58475 1694.89831 847.44915 -436.19640 286.19640 -103.96408
-51.78475 -15.58475 1694.89831 1694.89831 -434.86813 284.86813 -119.82332
-51.77712 -15.58475 1694.89831 2542.34746 -433.43006 283.43006 -115.27828
-51.76949 -15.58475 1694.89831 3389.79661 -431.89558 281.89558 -109.13848
-51.76186 -15.58475 1694.89831 4237.24576 -430.27577 280.27577 -113.68808
-51.75424 -15.58475 1694.89831 5084.69492 -428.59336 278.59336 -130.70773
-51.74661 -15.58475 1694.89831 5932.14407 -428.88776 278.88776 -137.06506
-51.73898 -15.58475 1694.89831 6779.59322 -431.50412 281.50412 -168.52280
-51.73136 -15.58475 1694.89831 7627.04237 -433.92235 283.92235 -167.22279
-51.72373 -15.58475 1694.89831 8474.49153 -436.18509 286.18509 -156.19755
-51.71610 -15.58475 1694.89831 9321.94068 -438.34423 288.34423 -151.04701
-51.70847 -15.58475 1694.89831 10169.38983 -440.44556 290.44556 -157.14010
-51.70085 -15.58475 1694.89831 11016.83898 -442.53119 292.53119 -182.43482
-51.69322 -15.58475 1694.89831 11864.28814 -444.64257 294.64257 -184.12124
-51.68559 -15.58475 1694.89831 12711.73729 -446.82339 296.82339 -170.07496
-51.67797 -15.58475 1694.89831 13559.18644 -449.12232 299.12232 -142.24042
-51.67034 -15.58475 1694.89831 14406.63559 -451.58563 301.58563 -101.19215
-51.66271 -15.58475 1694.89831 15254.08475 -451.83925 301.83925 -45.54744
-51.65508 -15.58475 1694.89831 16101.53390 -450.12448 300.12448 -49.25272
-51.64746 -15.58475 1694.89831 16948.98305 -448.60482 298.60482 -27.25532
-51.63983 -15.58475 1694.89831 17796.43220 -447.21619 297.21619 -25.31184
-51.63220 -15.58475 1694.89831 18643.88136 -445.89598 295.89598 -41.46195
-51.62458 -15.58475 1694.89831 19491.33051 -444.58739 294.58739 -25.81584
-51.61695 -15.58475 1694.89831 20338.77966 -443.23556 293.23556 -171.10838
-51.60932 -15.58475 1694.89831 21186.22881 -441.78375 291.78375 -145.30283
-51.60169 -15.58475 1694.89831 22033.67797 -440.16927 290.16927 -59.47804
-51.59407 -15.58475 1694.89831 22881.12712 -438.32051 288.32051 45.94960
-51.58644 -15.58475 1694.89831 23728.57627 -436.18631 286.18631 114.69836
-51.57881 -15.58475 1694.89831 24576.02542 -436.35757 286.35757 -83.51149
-51.57119 -15.58475 1694.89831 25423.47458 -438.15013 288.15013 -144.78698
-51.56356 -15.58475 1694.89831 26270.92373 -439.72059 289.72059 -164.30042
-51.55593 -15.58475 1694.89831 27118.37288 -441.10075 291.10075 -156.24651
-51.54831 -15.58475 1694.89831 27965.82203 -442.33007 292.33007 -114.86844
-51.54068 -15.58475 1694.89831 28813.27119 -443.44107 293.44107 -26.37082
-51.53305 -15.58475 1694.89831 29660.72034 -444.46060 294.46060 -26.63654
-51.52542 -15.58475 1694.89831 30508.16949 -445.41171 295.41171 58.21649
-51.51780 -15.58475 1694.89831 31355.61864 -446.31538 296.31538 75.66289
-51.51017 -15.58475 1694.89831 32203.06780 -447.19295 297.19295 76.47318
-51.50254 -15.58475 1694.89831 33050.51695 -448.08610 298.08610 142.97506
-51.49492 -15.58475 1694.89831 33897.96610 -448.96261 298.96261 156.62996
