# lon lat x-norte(m) y-leste(m) z(m) topo(m) mag(nT)
-51.61695 -15.57458 2824.83051 14406.63559 -443.60754 293.60754 -66.92583
-51.60932 -15.57458 2824.83051 15254.08475 -442.56489 292.56489 -93.87227
-51.60169 -15.57458 2824.83051 16101.53390 -441.42817 291.42817 -97.67026
-51.59407 -15.57458 2824.83051 16948.98305 -440.28595 290.28595 -27.30111
-51.58644 -15.57458 2824.83051 17796.43220 -439.41251 289.41251 108.35261
-51.57881 -15.57458 2824.83051 18643.88136 -439.42074 289.42074 68.50577
-51.57119 -15.57458 2824.83051 19491.33051 -440.23099 290.23099 -76.03731
-51.56356 -15.57458 2824.83051 20338.77966 -441.27993 291.27993 -146.14993
-51.55593 -15.57458 2824.83051 21186.22881 -442.32181 292.32181 -146.14487
-51.74661 -15.56949 3389.79661 0.00000 -428.00598 278.00598 -166.72779
-51.73898 -15.56949 3389.79661 847.44915 -429.50078 279.50078 -188.90079
-51.73136 -15.56949 3389.79661 1694.89831 -431.51298 281.51298 -222.07819
-51.72373 -15.56949 3389.79661 2542.34746 -433.53137 283.53137 -247.99944
-51.71610 -15.56949 3389.79661 3389.79661 -435.55413 285.55413 -264.90190
-51.70847 -15.56949 3389.79661 4237.24576 -437.56137 287.56137 -289.74993
-51.70085 -15.56949 3389.79661 5084.69492 -439.56267 289.56267 -326.05480
-51.69322 -15.56949 3389.79661 5932.14407 -441.57204 291.57204 -404.28716
-51.68559 -15.56949 3389.79661 6779.59322 -443.58618 293.58618 -496.23418
-51.67797 -15.56949 3389.79661 7627.04237 -445.59838 295.59838 -552.32456
-51.67034 -15.56949 3389.79661 8474.49153 -447.19600 297.19600 -553.78177
-51.66271 -15.56949 3389.79661 9321.94068 -447.83004 297.83004 -607.50667
-51.65508 -15.56949 3389.79661 10169.38983 -447.50270 297.50270 -630.58025
-51.64746 -15.56949 3389.79661 11016.83898 -446.80146 296.80146 -580.23645
-51.63983 -15.56949 3389.79661 11864.28814 -446.10105 296.10105 -482.50674
-51.63220 -15.56949 3389.79661 12711.73729 -445.41309 295.41309 -360.87775
-51.62458 -15.56949 3389.79661 13559.18644 -444.73017 294.73017 -235.35803
-51.61695 -15.56949 3389.79661 14406.63559 -444.03080 294.03080 -163.32825
-51.60932 -15.56949 3389.79661 15254.08475 -443.30584 293.30584 -142.94496
-51.60169 -15.56949 3389.79661 16101.53390 -442.59399 292.59399 -119.94129
-51.59407 -15.56949 3389.79661 16948.98305 -441.89275 291.89275 -54.75519
-51.58644 -15.56949 3389.79661 17796.43220 -441.43667 291.43667 53.45386
-51.57881 -15.56949 3389.79661 18643.88136 -441.47478 291.47478 87.33706
-51.57119 -15.56949 3389.79661 19491.33051 -442.00500 292.00500 -58.65060
-51.56356 -15.56949 3389.79661 20338.77966 -442.69902 292.69902 -126.68346
-51.55593 -15.56949 3389.79661 21186.22881 -443.41582 293.41582 -128.41115
-51.74661 -15.56441 3954.76271 0.00000 -427.93394 277.93394 -163.60529
