# lon lat x-norte(m) y-leste(m) z(m) topo(m) mag(nT)
-51.38814 -15.46780 3389.79661 17796.43220 -442.74314 292.74314 -327.26630
-51.38051 -15.46780 3389.79661 18643.88136 -442.80979 292.80979 -254.65431
-51.37288 -15.46780 3389.79661 19491.33051 -442.87644 292.87644 -298.30769
-51.36525 -15.46780 3389.79661 20338.77966 -442.94309 292.94309 -190.69232
-51.35763 -15.46780 3389.79661 21186.22881 -443.00974 293.00974 -110.16207
-51.35000 -15.46780 3389.79661 22033.67797 -443.07639 293.07639 -84.17306
-51.54831 -15.46271 3954.76271 0.00000 -450.92616 300.92616 -131.98646
-51.54068 -15.46271 3954.76271 847.44915 -449.80501 299.80501 -135.32333
-51.53305 -15.46271 3954.76271 1694.89831 -448.68386 298.68386 -143.14443
-51.52542 -15.46271 3954.76271 2542.34746 -447.56271 297.56271 -141.87571
-51.51780 -15.46271 3954.76271 3389.79661 -446.44156 296.44156 -143.45167
-51.51017 -15.46271 3954.76271 4237.24576 -445.42534 295.42534 -146.52486
-51.50254 -15.46271 3954.76271 5084.69492 -444.62654 294.62654 -150.02244
-51.49492 -15.46271 3954.76271 5932.14407 -444.01662 294.01662 -201.44602
-51.48729 -15.46271 3954.76271 6779.59322 -443.60125 293.60125 -415.98132
-51.47966 -15.46271 3954.76271 7627.04237 -443.39720 293.39720 -396.04109
-51.47203 -15.46271 3954.76271 8474.49153 -443.23658 293.23658 -308.15292
-51.46441 -15.46271 3954.76271 9321.94068 -443.07595 293.07595 -305.91426
-51.45678 -15.46271 3954.76271 10169.38983 -442.91532 292.91532 -303.27414
-51.44915 -15.46271 3954.76271 11016.83898 -442.75470 292.75470 -203.89266
-51.44153 -15.46271 3954.76271 11864.28814 -442.59407 292.59407 -170.42389
-51.43390 -15.46271 3954.76271 12711.73729 -442.43344 292.43344 -169.13298
-51.42627 -15.46271 3954.76271 13559.18644 -442.29553 292.29553 -160.48920
-51.41864 -15.46271 3954.76271 14406.63559 -442.19746 292.19746 -122.88034
-51.41102 -15.46271 3954.76271 15254.08475 -442.13424 292.13424 -109.87207
-51.40339 -15.46271 3954.76271 16101.53390 -442.10741 292.10741 -231.22707
-51.39576 -15.46271 3954.76271 16948.98305 -442.11864 292.11864 -317.14656
-51.38814 -15.46271 3954.76271 17796.43220 -442.13590 292.13590 -324.09140
-51.38051 -15.46271 3954.76271 18643.88136 -442.15316 292.15316 -277.15542
-51.37288 -15.46271 3954.76271 19491.33051 -442.17042 292.17042 -279.40244
-51.36525 -15.46271 3954.76271 20338.77966 -442.18769 292.18769 -218.80872
-51.35763 -15.46271 3954.76271 21186.22881 -442.20495 292.20495 -270.21928
-51.35000 -15.46271 3954.76271 22033.67797 -442.22267 292.22267 -225.94629
-51.54831 -15.45763 4519.72881 0.00000 -449.55431 299.55431 -150.00261
-51.54068 -15.45763 4519.72881 847.44915 -448.52257 298.52257 -168.42740
-51.53305 -15.45763 4519.72881 1694.89831 -447.49083 297.49083 -168.10791
-51.52542 -15.45763 4519.72881 2542.34746 -446.45910 296.45910 -166.38497
-51.51780 -15.45763 4519.72881 3389.79661 -445.42736 295.42736 -174.05903
-51.51017 -15.45763 4519.72881 4237.24576 -444.49821 294.49821 -188.54732
-51.50254 -15.45763 4519.72881 5084.69492 -443.77213 293.77213 -212.11383
-51.49492 -15.45763 4519.72881 5932.14407 -443.22241 293.22241 -320.76167
-51.48729 -15.45763 4519.72881 6779.59322 -442.85429 292.85429 -722.63208
-51.47966 -15.45763 4519.72881 7627.04237 -442.68522 292.68522 -703.60909
-51.47203 -15.45763 4519.72881 8474.49153 -442.55969 292.55969 -561.66264
-51.46441 -15.45763 4519.72881 9321.94068 -442.43416 292.43416 -509.45923
-51.45678 -15.45763 4519.72881 10169.38983 -442.30862 292.30862 -380.35631
-51.44915 -15.45763 4519.72881 11016.83898 -442.18309 292.18309 -283.50066
-51.44153 -15.45763 4519.72881 11864.28814 -442.05756 292.05756 -291.18284
-51.43390 -15.45763 4519.72881 12711.73729 -441.93203 291.93203 -296.40475
-51.42627 -15.45763 4519.72881 13559.18644 -441.81881 291.81881 -240.94663
-51.41864 -15.45763 4519.72881 14406.63559 -441.72627 291.72627 -116.45802
-51.41102 -15.45763 4519.72881 15254.08475 -441.65184 291.65184 -130.08820
-51.40339 -15.45763 4519.72881 16101.53390 -441.59631 291.59631 -132.87619
-51.39576 -15.45763 4519.72881 16948.98305 -441.56078 291.56078 -193.35605
-51.38814 -15.45763 4519.72881 17796.43220 -441.52865 291.52865 -256.96724
-51.38051 -15.45763 4519.72881 18643.88136 -441.49653 291.49653 -269.10815
-51.37288 -15.45763 4519.72881 19491.33051 -441.46440 291.46440 -216.71068
-51.36525 -15.45763 4519.72881 20338.77966 -441.43228 291.43228 -218.60596
-51.35763 -15.45763 4519.72881 21186.22881 -441.40015 291.40015 -406.21013
-51.35000 -15.45763 4519.72881 22033.67797 -441.36886 291.36886 -358.07532
-51.54831 -15.45254 5084.69492 0.00000 -448.18246 298.18246 -115.08987
-51.54068 -15.45254 5084.69492 847.44915 -447.24013 297.24013 -135.74144
-51.53305 -15.45254 5084.69492 1694.89831 -446.29781 296.29781 -162.07686
-51.52542 -15.45254 5084.69492 2542.34746 -445.35549 295.35549 -188.92536
-51.51780 -15.45254 5084.69492 3389.79661 -444.41317 294.41317 -214.97802
-51.51017 -15.45254 5084.69492 4237.24576 -443.56125 293.56125 -241.35981
-51.50254 -15.45254 5084.69492 5084.69492 -442.90364 292.90364 -274.27201
-51.49492 -15.45254 5084.69492 5932.14407 -442.41495 292.41495 -336.41682
-51.48729 -15.45254 5084.69492 6779.59322 -442.10030 292.10030 -540.58293
-51.47966 -15.45254 5084.69492 7627.04237 -441.97324 291.97324 -648.83724
-51.47203 -15.45254 5084.69492 8474.49153 -441.88280 291.88280 -786.40244
-51.46441 -15.45254 5084.69492 9321.94068 -441.79237 291.79237 -920.51751
-51.45678 -15.45254 5084.69492 10169.38983 -441.70193 291.70193 -645.15977
-51.44915 -15.45254 5084.69492 11016.83898 -441.61149 291.61149 -422.07016
-51.44153 -15.45254 5084.69492 11864.28814 -441.52105 291.52105 -358.96399
-51.43390 -15.45254 5084.69492 12711.73729 -441.43061 291.43061 -329.65634
-51.42627 -15.45254 5084.69492 13559.18644 -441.34128 291.34128 -316.84631
