# lon lat x-norte(m) y-leste(m) z(m) topo(m) mag(nT)
-51.72373 -15.58475 1694.89831 8474.49153 -436.18509 286.18509 -156.19755
-51.71610 -15.58475 1694.89831 9321.94068 -438.34423 288.34423 -151.04701
-51.70847 -15.58475 1694.89831 10169.38983 -440.44556 290.44556 -157.14010
-51.70085 -15.58475 1694.89831 11016.83898 -442.53119 292.53119 -182.43482
-51.69322 -15.58475 1694.89831 11864.28814 -444.64257 294.64257 -184.12124
-51.68559 -15.58475 1694.89831 12711.73729 -446.82339 296.82339 -170.07496
-51.67797 -15.58475 1694.89831 13559.18644 -449.12232 299.12232 -142.24042
-51.67034 -15.58475 1694.89831 14406.63559 -451.58563 301.58563 -101.19215
-51.66271 -15.58475 1694.89831 15254.08475 -451.83925 301.83925 -45.54744
-51.65508 -15.58475 1694.89831 16101.53390 -450.12448 300.12448 -49.25272
-51.64746 -15.58475 1694.89831 16948.98305 -448.60482 298.60482 -27.25532
-51.63983 -15.58475 1694.89831 17796.43220 -447.21619 297.21619 -25.31184
-51.63220 -15.58475 1694.89831 18643.88136 -445.89598 295.89598 -41.46195
-51.62458 -15.58475 1694.89831 19491.33051 -444.58739 294.58739 -25.81584
-51.61695 -15.58475 1694.89831 20338.77966 -443.23556 293.23556 -171.10838
-51.60932 -15.58475 1694.89831 21186.22881 -441.78375 291.78375 -145.30283
-51.60169 -15.58475 1694.89831 22033.67797 -440.16927 290.16927 -59.47804
-51.59407 -15.58475 1694.89831 22881.12712 -438.32051 288.32051 45.94960
-51.58644 -15.58475 1694.89831 23728.57627 -436.18631 286.18631 114.69836
-51.57881 -15.58475 1694.89831 24576.02542 -436.35757 286.35757 -83.51149
-51.57119 -15.58475 1694.89831 25423.47458 -438.15013 288.15013 -144.78698
-51.56356 -15.58475 1694.89831 26270.92373 -439.72059 289.72059 -164.30042
-51.55593 -15.58475 1694.89831 27118.37288 -441.10075 291.10075 -156.24651
-51.54831 -15.58475 1694.89831 27965.82203 -442.33007 292.33007 -114.86844
-51.54068 -15.58475 1694.89831 28813.27119 -443.44107 293.44107 -26.37082
-51.53305 -15.58475 1694.89831 29660.72034 -444.46060 294.46060 -26.63654
-51.52542 -15.58475 1694.89831 30508.16949 -445.41171 295.41171 58.21649
-51.51780 -15.58475 1694.89831 31355.61864 -446.31538 296.31538 75.66289
-51.51017 -15.58475 1694.89831 32203.06780 -447.19295 297.19295 76.47318
-51.50254 -15.58475 1694.89831 33050.51695 -448.08610 298.08610 142.97506
-51.80000 -15.57966 2259.86441 0.00000 -435.96490 285.96490 -146.08901
-51.79237 -15.57966 2259.86441 847.44915 -434.82297 284.82297 -131.97325
-51.78475 -15.57966 2259.86441 1694.89831 -433.55795 283.55795 -141.16577
-51.77712 -15.57966 2259.86441 2542.34746 -432.18743 282.18743 -134.21943
-51.76949 -15.57966 2259.86441 3389.79661 -430.72735 280.72735 -127.65802
-51.76186 -15.57966 2259.86441 4237.24576 -429.19982 279.19982 -129.94572
-51.75424 -15.57966 2259.86441 5084.69492 -427.72264 277.72264 -141.97098
-51.74661 -15.57966 2259.86441 5932.14407 -428.07957 278.07957 -152.42926
-51.73898 -15.57966 2259.86441 6779.59322 -430.52182 280.52182 -179.79096
-51.73136 -15.57966 2259.86441 7627.04237 -432.91761 282.91761 -196.10909
-51.72373 -15.57966 2259.86441 8474.49153 -435.17746 285.17746 -194.98945
-51.71610 -15.57966 2259.86441 9321.94068 -437.33969 287.33969 -190.17712
-51.70847 -15.57966 2259.86441 10169.38983 -439.44633 289.44633 -208.88722
-51.70085 -15.57966 2259.86441 11016.83898 -441.53780 291.53780 -227.97736
-51.69322 -15.57966 2259.86441 11864.28814 -443.65408 293.65408 -248.38316
-51.68559 -15.57966 2259.86441 12711.73729 -445.83630 295.83630 -235.78730
-51.67797 -15.57966 2259.86441 13559.18644 -448.12442 298.12442 -188.46791
-51.67034 -15.57966 2259.86441 14406.63559 -450.48392 300.48392 -127.01460
-51.66271 -15.57966 2259.86441 15254.08475 -450.84598 300.84598 -102.80614
-51.65508 -15.57966 2259.86441 16101.53390 -449.39203 299.39203 -100.31812
-51.64746 -15.57966 2259.86441 16948.98305 -448.05183 298.05183 -82.50954
-51.63983 -15.57966 2259.86441 17796.43220 -446.83149 296.83149 -74.30711
-51.63220 -15.57966 2259.86441 18643.88136 -445.67659 295.67659 -72.83420
-51.62458 -15.57966 2259.86441 19491.33051 -444.53294 294.53294 -52.13363
-51.61695 -15.57966 2259.86441 20338.77966 -443.34750 293.34750 -119.99455
-51.60932 -15.57966 2259.86441 21186.22881 -442.06600 292.06600 -120.45275
-51.60169 -15.57966 2259.86441 22033.67797 -440.63166 290.63166 -80.74389
-51.59407 -15.57966 2259.86441 22881.12712 -438.99516 288.99516 11.03760
-51.58644 -15.57966 2259.86441 23728.57627 -437.32835 287.32835 118.00346
-51.57881 -15.57966 2259.86441 24576.02542 -437.39695 287.39695 -7.98241
-51.57119 -15.57966 2259.86441 25423.47458 -438.88164 288.88164 -112.22497
-51.56356 -15.57966 2259.86441 26270.92373 -440.30384 290.30384 -159.72842
-51.55593 -15.57966 2259.86441 27118.37288 -441.56149 291.56149 -157.34076
-51.54831 -15.57966 2259.86441 27965.82203 -442.67734 292.67734 -114.14079
-51.54068 -15.57966 2259.86441 28813.27119 -443.67937 293.67937 -44.64038
-51.53305 -15.57966 2259.86441 29660.72034 -444.59298 294.59298 -32.60049
-51.52542 -15.57966 2259.86441 30508.16949 -445.44114 295.44114 -18.01840
-51.51780 -15.57966 2259.86441 31355.61864 -446.24661 296.24661 38.78544
-51.51017 -15.57966 2259.86441 32203.06780 -447.03938 297.03938 100.65415
-51.50254 -15.57966 2259.86441 33050.51695 -447.94396 297.94396 123.70361
-51.80000 -15.57458 2824.83051 0.00000 -434.86399 284.86399 -173.84408
-51.79237 -15.57458 2824.83051 847.44915 -433.75263 283.75263 -162.48343
-51.78475 -15.57458 2824.83051 1694.89831 -432.54304 282.54304 -159.72210
-51.77712 -15.57458 2824.83051 2542.34746 -431.25330 281.25330 -152.03348
-51.76949 -15.57458 2824.83051 3389.79661 -429.91505 279.91505 -145.91098
-51.76186 -15.57458 2824.83051 4237.24576 -428.61952 278.61952 -145.30933
-51.75424 -15.57458 2824.83051 5084.69492 -427.61659 277.61659 -152.61567
